time,event_type,vm_id,required_cpu,required_ram,host_id,host_cpu_util_after,host_ram_util_after,sla_violated_after,placement_latency_ms,decision_latency_ms,allocation_success,policy,vm_duration
0.5865851124710739,placement,0,1,2,2,0.062,0.062,False,19.8,0.02,1,round_robin,120.4
2.2325172294028857,placement,1,2,7,0,0.125,0.219,False,37.07,0.01,1,round_robin,36.52
2.4445483174808187,placement,2,1,6,3,0.062,0.188,False,11.27,0.01,1,round_robin,6.78
2.5193467782416694,placement,3,1,3,1,0.062,0.094,False,30.21,0.01,1,round_robin,80.45
3.6681994702757503,placement,4,1,6,1,0.125,0.281,False,38.64,0.01,1,round_robin,49.25
3.6941986052746736,placement,5,4,3,3,0.312,0.281,False,33.57,0.01,1,round_robin,140.14
5.927235534468018,placement,6,1,8,1,0.188,0.531,False,37.93,0.01,1,round_robin,9.55
6.178084270405097,placement,7,3,4,1,0.375,0.656,False,18.61,0.01,1,round_robin,8.1
6.631526432230693,placement,8,3,2,0,0.312,0.281,False,25.2,0.01,1,round_robin,29.76
7.338447765706114,placement,9,3,8,2,0.25,0.312,False,34.15,0.01,1,round_robin,13.77
8.521411358080861,placement,10,1,7,3,0.375,0.5,False,31.45,0.01,1,round_robin,6.01
8.953305748083864,placement,11,4,2,4,0.25,0.062,False,21.73,0.01,1,round_robin,18.25
9.714474107908583,placement,12,3,6,1,0.562,0.844,False,38.18,0.01,1,round_robin,61.52
9.992893935569445,placement,13,1,7,2,0.312,0.531,False,40.92,0.01,1,round_robin,28.88
11.114774837206646,placement,14,1,8,2,0.375,0.781,False,44.66,0.01,1,round_robin,1.9
12.283941113018658,placement,15,4,4,3,0.562,0.438,False,35.43,0.01,1,round_robin,7.48
12.368021026617788,placement,16,3,3,2,0.562,0.875,False,24.21,0.06,1,round_robin,118.95
16.581308954694254,placement,17,3,7,0,0.5,0.5,False,34.37,0.01,1,round_robin,66.09
17.035418779655203,placement,18,2,6,1,0.438,0.656,False,16.54,0.01,1,round_robin,4.11
18.476357233528528,placement,19,4,4,4,0.5,0.188,False,18.78,0.01,1,round_robin,23.2
18.639047525971588,placement,20,3,8,0,0.688,0.75,False,19.16,0.01,1,round_robin,27.34
18.682789677775936,placement,21,1,8,2,0.562,0.875,False,26.05,0.01,1,round_robin,96.02
19.057111898826793,placement,22,1,3,4,0.562,0.281,False,45.05,0.01,1,round_robin,43.45
19.524045125898823,placement,23,3,3,3,0.688,0.312,False,25.83,0.01,1,round_robin,29.36
20.51307487337607,placement,24,4,3,2,0.812,0.969,False,15.59,0.01,1,round_robin,8.18
24.879083789296352,placement,25,3,7,4,0.75,0.5,False,27.14,0.01,1,round_robin,59.69
28.385451813410832,placement,26,4,4,1,0.562,0.594,False,49.89,0.01,1,round_robin,90.09
29.524269828889924,placement,27,2,6,3,0.562,0.375,False,13.64,0.01,1,round_robin,101.98
